ID,OBJECT_NAME,RA,DEC,TYPE,REDSHIFT
1,RM J080000.5+314126.6,120.00204,31.69072,GClstr,0.356692
2,WHL J080000.7+415337,120.00292,41.89361,GClstr,0.131
3,WHL J080001.1+304141,120.00458,30.69472,GClstr,0.4852
4,GMBCG J120.00618+53.97479,120.00618,53.97479,GClstr,0.464
5,GMBCG J120.00897+48.07423,120.00897,48.07423,GClstr,0.381
6,GMBCG J120.01214+14.85382,120.01214,14.85382,GClstr,0.442
7,WHL J080003.2+362942,120.01333,36.495,GClstr,0.3277
8,WHL J080004.0+445613,120.01667,44.93694,GClstr,0.2851
9,ACT-CL J0800.0+1642,120.01679,16.71037,GClstr,0.785
10,WHL J080004.1+143451,120.01702,14.58094,GClstr,0.4007
11,MaxBCG J120.02078+38.59612,120.02078,38.59612,GClstr,0.28355
12,NSC J080005+280551,120.02083,28.10194,GClstr,0.1755
13,WHL J080005.5+292649,120.02283,29.44707,GClstr,0.5901
14,WHL J080005.6+525138,120.02333,52.86056,GClstr,0.434859
15,WHL J080006.3+380746,120.02625,38.12944,GClstr,0.45
16,WHL J080007.2+045234,120.03,4.87611,GClstr,0.4924
17,WHL J080007.4+282801,120.03087,28.46704,GClstr,0.2467
18,GMBCG J120.03147+31.68238,120.03147,31.68238,GClstr,0.408
19,WHL J080007.7+090910,120.03208,9.15278,GClstr,0.382
20,WHL J080008.3+360939,120.03456,36.16076,GClstr,0.1316
21,WHL J080008.4+360255,120.035,36.04861,GClstr,0.2826
22,MSPM 09395,120.0355,28.0833,GClstr,0.14059
23,WHL J080008.5+352927,120.03555,35.49091,GClstr,0.4777
24,WHL J080009.3+090920,120.03861,9.15558,GClstr,0.3674
25,MSPM 06034,120.0387,38.1798,GClstr,0.07653
26,WHL J080009.3+365240,120.03885,36.87764,GClstr,0.3219
27,MSPM 03076,120.039,40.4242,GClstr,0.07387
28,WHL J080009.7+170849,120.04041,17.14684,GClstr,0.4872
29,WHL J080009.7+145512,120.04042,14.92,GClstr,0.207295
30,WHL J080010.1+143512,120.04223,14.58668,GClstr,0.2406
31,WHL J080010.5+375821,120.04359,37.97241,GClstr,0.6741
32,WHL J080010.8+133307,120.04519,13.55187,GClstr,0.5595
33,WHL J080011.1+331428,120.0462,33.24108,GClstr,0.3778
34,WHL J080011.2+534321,120.0466,53.72261,GClstr,0.5802
35,WHL J080011.5+503234,120.04802,50.54272,GClstr,0.5497
36,GMBCG J120.04890+15.44095,120.0489,15.44095,GClstr,0.129
37,WHL J080012.5+365034,120.05216,36.84272,GClstr,0.2913
38,WHL J080012.8+183645,120.05322,18.61256,GClstr,0.2751
39,WHL J080013.1+143619,120.05447,14.60535,GClstr,0.2241
40,WHL J080013.1+081208,120.05458,8.20222,GClstr,0.325331
41,GMBCG J120.05491+30.11889,120.05491,30.11889,GClstr,0.412
42,WHL J080013.7+484211,120.05689,48.70304,GClstr,0.2051
43,WHL J080013.8+321618,120.05754,32.27158,GClstr,0.2891
44,GMBCG J120.06075+15.21564,120.06075,15.21564,GClstr,0.333
45,GMBCG J120.06184+31.15722,120.06184,31.15722,GClstr,0.336
46,WHL J080015.0+282649,120.0625,28.44694,GClstr,0.2515
47,WHL J080015.3+044813,120.06368,4.80372,GClstr,0.6134
48,WHL J080015.6+313300,120.0648,31.55009,GClstr,0.4331
49,WHL J080015.6+413906,120.06489,41.65164,GClstr,0.4683
50,WHL J080015.8+273342,120.06584,27.56153,GClstr,0.224
51,MSPM 00726,120.0671,29.4714,GClstr,0.04581
52,WHL J080016.4+044051,120.06818,4.68084,GClstr,0.237
53,GMBCG J120.06967+38.37607,120.06967,38.37607,GClstr,0.509
54,WHL J080017.0+541434,120.07096,54.24283,GClstr,0.4933
55,WH J080017.1+223117,120.07122,22.52141,GClstr,0.7243
56,WHL J080018.4+144059,120.07673,14.68301,GClstr,0.3849
57,NSC J080018+282831,120.07806,28.47537,GClstr,0.108
58,NSC J080019+554952,120.0805,55.83114,GClstr,0.0705
59,WHL J080019.3+141107,120.08054,14.18534,GClstr,0.3929
60,WHL J080019.8+315535,120.08245,31.92645,GClstr,0.7024
61,WHL J080019.8+314001,120.0825,31.66694,GClstr,0.3872
62,WHL J080019.9+145320,120.08292,14.88889,GClstr,0.4042
63,GMBCG J120.08502+22.67512,120.08502,22.67512,GClstr,0.432
64,WHL J080021.2+124210,120.08816,12.70278,GClstr,0.5934
65,GMBCG J120.09049+36.57784,120.09049,36.57784,GClstr,0.44
66,WHL J080021.8+103323,120.09097,10.55649,GClstr,0.5772
67,MSPM 03123,120.0914,46.5364,GClstr,0.06881
68,RM J080021.9+255639.1,120.09142,25.9442,GClstr,0.541154
69,WHL J080021.9+255639,120.09142,25.9442,GClstr,0.543
70,WHL J080022.3+194351,120.09285,19.73079,GClstr,0.2357
71,WHL J080022.8+353329,120.09521,35.55797,GClstr,0.5561
72,WHL J080023.1+512928,120.09614,51.49106,GClstr,0.2743
73,WHL J080023.2+165021,120.09683,16.83912,GClstr,0.2838
74,WHL J080024.2+314058,120.10102,31.68267,GClstr,0.3404
75,GMBCG J120.10322+29.34451,120.10322,29.34451,GClstr,0.299
76,WHL J080025.1+490227,120.10439,49.04072,GClstr,0.508
77,WH J080025.1+320410,120.10443,32.06938,GClstr,0.7035
78,WHL J080025.2+313410,120.10493,31.56942,GClstr,0.4163
79,WHL J080026.4+213312,120.11015,21.55323,GClstr,0.3089
80,WHL J080027.2+304153,120.11354,30.69809,GClstr,0.098
81,WHL J080027.4+364629,120.11423,36.77461,GClstr,0.5762
82,NSC J080028+463253,120.11687,46.54823,GClstr,0.1435
83,WHL J080028.2+414237,120.11762,41.71025,GClstr,0.4672
84,NSC J080028+560047,120.11837,56.01317,GClstr,0.1193
85,WHL J080028.4+213734,120.1185,21.62604,GClstr,0.3113
86,WHL J080028.5+133729,120.11875,13.62472,GClstr,0.420187
87,WHL J080028.7+362738,120.11959,36.46049,GClstr,0.1778
88,NSC J080028+585835,120.12023,58.97666,GClstr,0.1524
89,WHL J080030.1+294133,120.12559,29.69252,GClstr,0.156
90,WHL J080030.2+354428,120.12583,35.74111,GClstr,0.3624
91,MSPM 00391,120.1289,28.4813,GClstr,0.04817
92,WHL J080031.1+094022,120.12952,9.67277,GClstr,0.2682
93,NSC J080031+355819,120.12961,35.97203,GClstr,0.175
94,WHL J080033.0+362905,120.1375,36.48472,GClstr,0.408
95,WHL J080033.1+415714,120.13774,41.95378,GClstr,0.446
96,WHL J080033.2+343220,120.13824,34.5389,GClstr,0.5139
97,WHL J080033.2+193336,120.13833,19.56,GClstr,0.405
98,WHL J080033.3+544931,120.13865,54.82529,GClstr,0.5372
99,WHL J080033.6+284334,120.13997,28.72625,GClstr,0.491
100,GMBCG J120.14206+35.99370,120.14206,35.9937,GClstr,0.236
101,WHL J080034.3+110232,120.14299,11.04226,GClstr,0.5707
102,WHL J080034.6+050350,120.14417,5.06389,GClstr,0.3618
103,WHL J080034.8+355541,120.14495,35.92805,GClstr,0.2866
104,MSPM 03310,120.1456,9.8004,GClstr,0.06584
105,MSPM 09768,120.147,45.0164,GClstr,0.13045
106,WHL J080036.9+404357,120.15392,40.73254,GClstr,0.2929
107,WHL J080037.0+475759,120.15439,47.96633,GClstr,0.401902
108,MSPM 02346,120.1555,15.8695,GClstr,0.0547
109,MSPM 05274,120.15785,37.17884,GClstr,0.07519
110,WHL J080038.0+052258,120.15845,5.38286,GClstr,0.1285
111,WHL J080039.0+060849,120.16271,6.14701,GClstr,0.3748
112,WHL J080039.3+222303,120.16391,22.38405,GClstr,0.3409
113,MSPM 01192,120.1672,30.4013,GClstr,0.04604
114,MSPM 01964,120.1691,39.4425,GClstr,0.06941
115,WHL J080040.7+355846,120.16958,35.97944,GClstr,0.2837
116,WHL J080041.3+433351,120.17208,43.56417,GClstr,0.4479
117,WHL J080041.6+382719,120.17333,38.45528,GClstr,0.2798
118,WHL J080041.9+212135,120.17477,21.35973,GClstr,0.5709
119,NSC J080039+321751,120.17494,32.29102,GClstr,0.195154
120,WHL J080042.1+212923,120.17532,21.48978,GClstr,0.5749
121,WHL J080042.3+392318,120.17626,39.38823,GClstr,0.2554
122,WHL J080043.3+463457,120.18038,46.58258,GClstr,0.1307
123,NSC J080044+383149,120.18529,38.53033,GClstr,0.1456
124,GMBCG J120.18733+28.16683,120.18733,28.16683,GClstr,0.227
125,WHL J080045.6+253407,120.19,25.56861,GClstr,0.4704
126,WHL J080045.8+374426,120.19083,37.74043,GClstr,0.1277
