ID,OBJECT_NAME,RA,DEC,TYPE,REDSHIFT
2,WHL J080000.7+415337,120.00292,41.89361,GClstr,0.131
22,MSPM 09395,120.0355,28.0833,GClstr,0.14059
25,MSPM 06034,120.0387,38.1798,GClstr,0.07653
91,MSPM 00391,120.1289,28.4813,GClstr,0.04817
108,MSPM 02346,120.1555,15.8695,GClstr,0.0547
109,MSPM 05274,120.15785,37.17884,GClstr,0.07519
114,MSPM 01964,120.1691,39.4425,GClstr,0.06941
126,WHL J080045.8+374426,120.19083,37.74043,GClstr,0.1277
139,WHL J080051.1+300024,120.2129,30.00673,GClstr,0.3212
154,WHL J080053.8+392438,120.22432,39.4105,GClstr,0.0708
157,MSPM 02013,120.2256,40.0662,GClstr,0.06505
168,WHL J080056.8+360324,120.23674,36.05655,GClstr,0.296506
175,ABELL 0611,120.24542,36.04722,GClstr,0.288
182,MSPM 00645,120.2513,27.1797,GClstr,0.04739
184,WHL J080101.4+134952,120.25583,13.83111,GClstr,0.1076
187,ABELL 0612,120.25889,34.81144,GClstr,0.0773
188,ABELL 0612 NED01,120.25889,34.81144,GClstr,0.155
197,MSPM 07248,120.2666,13.8648,GClstr,0.10851
