ID,RA,DEC,REDSHIFT,PROMEDIO_R
2,120.00292,41.89361,0.131,17.504534736842103
22,120.0355,28.0833,0.14059,17.321303333333333
25,120.0387,38.1798,0.07653,17.003485
91,120.1289,28.4813,0.04817,16.97081083333333
108,120.1555,15.8695,0.0547,16.688883333333333
109,120.15785,37.17884,0.07519,16.638784444444443
114,120.1691,39.4425,0.06941,17.061775000000004
126,120.19083,37.74043,0.1277,17.721450769230763
139,120.2129,30.00673,0.3212,19.363576000000002
154,120.22432,39.4105,0.0708,17.061775000000004
157,120.2256,40.0662,0.06505,16.811854705882357
168,120.23674,36.05655,0.296506,19.24447111111111
175,120.24542,36.04722,0.288,19.228721818181818
182,120.2513,27.1797,0.04739,17.11164769230769
184,120.25583,13.83111,0.1076,16.97856083333333
187,120.25889,34.81144,0.0773,16.899970909090907
188,120.25889,34.81144,0.155,18.421325925925924
197,120.2666,13.8648,0.10851,16.947999999999997
