H0,Omega_m,Omega_lambda,Omega_k,Edad del Universo (Gyr)
67,0.3,1.0,-0.3,15.712533753546108
67,0.4,0.9,-0.3,14.144337641256774
67,0.5,0.8,-0.3,13.04874185045017
67,0.6,0.7,-0.3,12.218408139590732
67,0.7,0.6,-0.3,11.556412777279963
67,0.8,0.5,-0.3,11.009998828057368
67,0.9,0.4,-0.3,10.547434349480739
67,1.0,0.3,-0.3,10.148228904799526
67,0.2,1.0,-0.2,17.274687125669686
67,0.3,0.9,-0.2,15.087307497453205
67,0.4,0.8,-0.2,13.705723767863217
67,0.5,0.7,-0.2,12.713682998456235
67,0.6,0.6,-0.2,11.948982265006125
67,0.7,0.5,-0.2,11.332178122241983
67,0.8,0.4,-0.2,10.818699446579263
67,0.9,0.3,-0.2,10.381154674673677
67,1.0,0.2,-0.2,10.001567060757345
67,0.1,1.0,-0.1,20.06457221847268
67,0.2,0.9,-0.1,16.418464948018162
67,0.3,0.8,-0.1,14.545899385048811
67,0.4,0.7,-0.1,13.313241484241404
67,0.5,0.6,-0.1,12.407883922830498
67,0.6,0.5,-0.1,11.699783631766126
67,0.7,0.4,-0.1,11.122761703411856
67,0.8,0.3,-0.1,10.638719471060222
67,0.9,0.2,-0.1,10.223799674813518
67,1.0,0.1,-0.1,9.862118472915421
67,0.0,1.0,0.0,inf
67,0.1,0.9,0.0,18.649181696534697
67,0.2,0.8,0.0,15.70337741106228
67,0.3,0.7,0.0,14.069983228273601
67,0.4,0.6,0.0,12.95883988018795
67,0.5,0.5,0.0,12.127060540582274
67,0.6,0.4,0.0,11.468248460439646
67,0.7,0.3,0.0,10.926502067668023
67,0.8,0.2,0.0,10.46891827404152
67,0.9,0.1,0.0,10.074551247845498
67,1.0,0.0,0.0,9.729275837619792
67,0.0,0.9,0.1,27.973772544802056
67,0.1,0.8,0.1,17.555867955377266
67,0.2,0.7,0.1,15.092223904488998
67,0.3,0.6,0.1,13.646547455443073
67,0.4,0.5,0.1,12.636363655846218
67,0.5,0.4,0.1,11.867784228259064
67,0.6,0.3,0.1,11.252259500455104
67,0.7,0.2,0.1,10.74199516957284
67,0.8,0.1,0.1,10.308314731319507
67,0.9,0.0,0.1,9.932695718382629
67,0.0,0.8,0.2,23.55506611659342
67,0.1,0.7,0.2,16.672000039715833
67,0.2,0.6,0.2,14.560581550909415
67,0.3,0.5,0.2,13.266034515152445
67,0.4,0.4,0.2,12.341006037766684
67,0.5,0.3,0.2,11.62727032564391
67,0.6,0.2,0.2,11.050049047221195
67,0.7,0.1,0.2,10.568044370256647
67,0.8,0.0,0.2,10.156059137899316
67,0.0,0.7,0.3,21.104974842410407
67,0.1,0.6,0.3,15.934596291617888
67,0.2,0.5,0.3,14.0915858525026
67,0.3,0.4,0.3,12.921226593569186
67,0.4,0.3,0.3,12.0689450394695
67,0.5,0.2,0.3,11.403227910878986
67,0.6,0.1,0.3,10.860126805783567
67,0.7,0.0,0.3,10.403621951260869
